class,lesson,room_id,period_id,date,block,week_num,user,year_id,staff,year_end
9T,ICT,5,12,2011-09-26,1,1,Ranas,1,,20/07/2012 00:00
10IY/LC2,ICT,5,12,2011-09-27,1,1,Ranas,1,,20/07/2012 00:00
9B,ICT,5,12,2011-09-28,1,1,Ranas,1,,20/07/2012 00:00
11IY,ICT,5,12,2011-09-29,1,1,Ranas,1,,20/07/2012 00:00
11SR1,BIOLOGY,5,12,2011-09-30,1,1,Murraym,1,,20/07/2012 00:00
8T,ICT,5,10,2011-09-26,1,1,Ranas,1,,20/07/2012 00:00
10IZ,ICT,5,10,2011-09-27,1,1,Ranas,1,,20/07/2012 00:00
7A,ICT,5,10,2011-09-28,1,1,Ranas,1,,20/07/2012 00:00
11IZ/LC2,ICT,5,10,2011-09-29,1,1,Ranas,1,,20/07/2012 00:00
8C,ICT,5,10,2011-09-30,1,1,Ranas,1,,20/07/2012 00:00
