class,lesson,room_id,period_id,date,block,week_num,user,year_id,staff,year_end
9T,ICT,5,12,2011-10-03,1,1,Ranas,1,,20/07/2012 00:00
10IY/LC2,ICT,5,12,2011-10-04,1,1,Ranas,1,,20/07/2012 00:00
9B,ICT,5,12,2011-10-05,1,1,Ranas,1,,20/07/2012 00:00
11IY,ICT,5,12,2011-10-06,1,1,Ranas,1,,20/07/2012 00:00
11SR1,BIOLOGY,5,12,2011-10-07,1,1,Murraym,1,,20/07/2012 00:00
8T,ICT,5,10,2011-10-03,1,1,Ranas,1,,20/07/2012 00:00
10IZ,ICT,5,10,2011-10-04,1,1,Ranas,1,,20/07/2012 00:00
7A,ICT,5,10,2011-10-05,1,1,Ranas,1,,20/07/2012 00:00
11IZ/LC2,ICT,5,10,2011-10-06,1,1,Ranas,1,,20/07/2012 00:00
8C,ICT,5,10,2011-10-07,1,1,Ranas,1,,20/07/2012 00:00
