class,lesson,room_id,period_id,date,block,week_num,user,year_id,staff
7AT,Registration,12,17,03/01/2011,1,1,maclachlanlucy,1,
Year 10,Business Studies,12,12,03/01/2011,1,1,livingstoneandrew,1,
Year 10,Business Studies,12,13,03/01/2011,1,1,maclachlanlucy,1,
Year 11 ,Business Studies,12,14,03/01/2011,1,1,maclachlanlucy,1,
7AT ,Registration,12,17,04/01/2011,1,1,maclachlanlucy,1,
Year 13,Business Studies,12,12,04/01/2011,1,1,maclachlanlucy,1,
Year 11 ,Business Studies,12,10,04/01/2011,1,1,mutchellhannah,1,
Year 10,Business Studies,12,13,04/01/2011,1,1,mutchellhannah,1,
Year 12 ,Business Studies,12,14,04/01/2011,1,1,mutchellhannah,1,
Year 10,Business Studies,12,15,04/01/2011,1,1,mutchellhannah,1,
7AT,Registration,12,17,05/01/2011,1,1,maclachlanlucy,1,
Year 11 ,Business Studies,12,12,05/01/2011,1,1,maclachlanlucy,1,
Year 10,Business Studies,12,10,05/01/2011,1,1,livingstoneandrew,1,
Year 13 ,Business Studies,12,13,05/01/2011,1,1,maclachlanlucy,1,
Year 10,Business Studies,12,14,05/01/2011,1,1,maclachlanlucy,1,
Year 10 ,Business Studies,12,15,05/01/2011,1,1,maclachlanlucy,1,
