class,lesson,room_id,period_id,date,block,week_num,user,year_id,staff,year_end
13D,Business ,10,12,2011-09-26,1,2,Timetabled,1,,2012-07-20
12D,Business ,10,12,2011-09-27,1,2,Timetabled,1,,2012-07-20
11B,Business ,10,12,2011-09-28,1,2,Timetabled,1,,2012-07-20
13A,Business ,10,12,2011-09-30,1,2,Timetabled,1,,2012-07-20
11HA,Business ,10,10,2011-09-27,1,2,Timetabled,1,,2012-07-20
11XY,Business ,10,10,2011-09-28,1,2,Timetabled,1,,2012-07-20
10B,Business ,10,10,2011-09-29,1,2,Timetabled,1,,2012-07-20
10EH,Business ,10,13,2011-09-26,1,2,Timetabled,1,,2012-07-20
10YC,Business ,10,13,2011-09-27,1,2,Timetabled,1,,2012-07-20
10EH,Business ,10,13,2011-09-28,1,2,Timetabled,1,,2012-07-20
11B,Business ,10,13,2011-09-30,1,2,Timetabled,1,,2012-07-20
10YS,Business ,10,14,2011-09-26,1,2,Timetabled,1,,2012-07-20
10XS,Business ,10,14,2011-09-27,1,2,Timetabled,1,,2012-07-20
10B,Business ,10,14,2011-09-28,1,2,Timetabled,1,,2012-07-20
10EH,Business ,10,14,2011-09-29,1,2,Timetabled,1,,2012-07-20
13D,Business ,10,14,2011-09-30,1,2,Timetabled,1,,2012-07-20
11XC,Business ,10,15,2011-09-26,1,2,Timetabled,1,,2012-07-20
10HC,Business ,10,15,2011-09-27,1,2,Timetabled,1,,2012-07-20
10XC,Business ,10,15,2011-09-29,1,2,Timetabled,1,,2012-07-20
10HC,Business ,10,15,2011-09-30,1,2,Timetabled,1,,2012-07-20
12D,Business ,10,12,2011-10-04,1,1,Timetabled,1,,2012-07-20
11B,Business ,10,12,2011-10-05,1,1,Timetabled,1,,2012-07-20
10XY,Business ,10,12,2011-10-06,1,1,Timetabled,1,,2012-07-20
11HA,Business ,10,10,2011-10-04,1,1,Timetabled,1,,2012-07-20
10XC,Business ,10,10,2011-10-05,1,1,Timetabled,1,,2012-07-20
10B,Business ,10,10,2011-10-06,1,1,Timetabled,1,,2012-07-20
10EH,Business ,10,13,2011-10-03,1,1,Timetabled,1,,2012-07-20
10YC,Business ,10,13,2011-10-04,1,1,Timetabled,1,,2012-07-20
10HC,Business ,10,13,2011-10-06,1,1,Timetabled,1,,2012-07-20
11B,Business ,10,13,2011-10-07,1,1,Timetabled,1,,2012-07-20
13A,Business ,10,14,2011-10-03,1,1,Timetabled,1,,2012-07-20
10XS,Business ,10,14,2011-10-04,1,1,Timetabled,1,,2012-07-20
10YS,Business ,10,14,2011-10-05,1,1,Timetabled,1,,2012-07-20
10EH,Business ,10,14,2011-10-06,1,1,Timetabled,1,,2012-07-20
10B,Business ,10,14,2011-10-07,1,1,Timetabled,1,,2012-07-20
11XC,Business ,10,15,2011-10-03,1,1,Timetabled,1,,2012-07-20
10HC,Business ,10,15,2011-10-04,1,1,Timetabled,1,,2012-07-20
10B,Business ,10,15,2011-10-05,1,1,Timetabled,1,,2012-07-20
10HC,Business ,10,15,2011-10-07,1,1,Timetabled,1,,2012-07-20
9P,,8,12,2011-10-03,1,1,Timetabled,1,,2012-07-20
10IY,,8,12,2011-10-04,1,1,Timetabled,1,,2012-07-20
11B,,8,12,2011-10-05,1,1,Timetabled,1,,2012-07-20
11TZ,,8,12,2011-10-06,1,1,Timetabled,1,,2012-07-20
9P,,8,12,2011-10-07,1,1,Timetabled,1,,2012-07-20
11IZ,,8,10,2011-10-06,1,1,Timetabled,1,,2012-07-20
11B,,8,13,2011-10-04,1,1,Timetabled,1,,2012-07-20
11B,,8,13,2011-10-07,1,1,Timetabled,1,,2012-07-20
10XS,,8,14,2011-10-04,1,1,Timetabled,1,,2012-07-20
11XS,,8,14,2011-10-06,1,1,Timetabled,1,,2012-07-20
10B,,8,14,2011-10-07,1,1,Timetabled,1,,2012-07-20
11XC,,8,15,2011-10-03,1,1,Timetabled,1,,2012-07-20
10B,,8,15,2011-10-05,1,1,Timetabled,1,,2012-07-20
11TZ,,8,15,2011-10-07,1,1,Timetabled,1,,2012-07-20
9A,,8,12,2011-09-26,1,2,Timetabled,1,,2012-07-20
10IY,,8,12,2011-09-27,1,2,Timetabled,1,,2012-07-20
11B,,8,12,2011-09-28,1,2,Timetabled,1,,2012-07-20
11TZ,,8,12,2011-09-29,1,2,Timetabled,1,,2012-07-20
11XY,,8,10,2011-09-28,1,2,Timetabled,1,,2012-07-20
11IZ,,8,10,2011-09-29,1,2,Timetabled,1,,2012-07-20
11B,,8,13,2011-09-30,1,2,Timetabled,1,,2012-07-20
10XS,,8,14,2011-09-27,1,2,Timetabled,1,,2012-07-20
10B,,8,14,2011-09-28,1,2,Timetabled,1,,2012-07-20
11XS,,8,14,2011-09-29,1,2,Timetabled,1,,2012-07-20
11XC,,8,15,2011-09-26,1,2,Timetabled,1,,2012-07-20
10XC,,8,15,2011-09-29,1,2,Timetabled,1,,2012-07-20
