class,lesson,room_id,period_id,date,block,week_num,user,year_id,staff
Year 10 ,ICT ,6,13,2011-01-03,1,1,ranasheetal,1,
Year 12 ,ICT,6,12,2011-01-03,1,1,ranasheetal,1,
Year 11 ,ICT,6,10,2011-01-03,1,1,ranasheetal,1,
Year 10 ,ICT,6,15,2011-01-03,1,1,ranasheetal,1,
Year 10,ICT,6,12,2011-01-04,1,1,ranasheetal,1,
Year 10,ICT,6,10,2011-01-04,1,1,ranasheetal,1,
Year 12,ICT,6,13,2011-01-04,1,1,ranasheetal,1,
Year 9 ,ICT,6,14,2011-01-04,1,1,ranasheetal,1,
Year 11,ICT,6,15,2011-01-04,1,1,ranasheetal,1,
13T,Registration,8,17,2011-01-03,1,1,wheetlymarcus,1,
Year 7,ICT,3,12,2011-01-03,1,1,fullerjoan,1,
Year 13 ,Business Studies,8,12,2011-01-03,1,1,hirdjulie,1,
Year 7,ICT,7,12,2011-01-03,1,1,gallowaymaria,1,
Year 7,ICT,3,13,2011-01-03,1,1,kiffentony,1,
Year 10,Media Studies,4,13,2011-01-03,1,1,fergusonlisa,1,
Year 8,ICT,7,13,2011-01-03,1,1,gallowaymaria,1,
Year 13 ,Computing,8,13,2011-01-03,1,1,fullerjoan,1,
Year 10,Media Studies,11,13,2011-01-03,1,1,carrigntonrichard,1,
Year 10,ICT,3,15,2011-01-03,1,1,kiffentony,1,
Year 10 ,ICT ,7,15,2011-01-03,1,1,gallowaymaria,1,
Year 10,ICT ,11,15,2011-01-03,1,1,fullerjoan,1,
Year 10,ICT,3,12,2011-01-04,1,1,kiffentony,1,
Year 10 ,ICT ,7,12,2011-01-04,1,1,gallowaymaria,1,
Year 10 ,ICT ,11,12,2011-01-04,1,1,fullerjoan,1,
Year 10,ICT ,3,10,2011-01-04,1,1,kiffentony,1,
Year 10 ,ICT ,7,10,2011-01-04,1,1,gallowaymaria,1,
Year 10 ,ICT,11,10,2011-01-04,1,1,fullerjoan,1,
Year 7 ,ICT,3,13,2011-01-04,1,1,kiffentony,1,
Year 10 ,ICT ,7,13,2011-01-04,1,1,westruth,1,
Year 13 ,ICT ,7,14,2011-01-04,1,1,gallowaymaria,1,
Year 11 ,ICT,3,15,2011-01-04,1,1,kiffentony,1,
Year 11 ,ICT ,4,15,2011-01-04,1,1,fullerjoan,1,
Year 11,ICT ,7,15,2011-01-04,1,1,gallowaymaria,1,
Year 11,Media Studies,10,12,2011-01-05,1,1,fergusonlisa,1,
Year 9 ,ICT,6,10,2011-01-05,1,1,ranasheetal,1,
Year 12,ICT,4,13,2011-01-05,1,1,fullerjoan,1,
Year 9,ICT,6,14,2011-01-05,1,1,ranasheetal,1,
Year 12,ICT ,4,14,2011-01-05,1,1,fullerjoan,1,
Year 7,ICT ,6,15,2011-01-05,1,1,ranasheetal,1,
Year 10,Media Studies,4,15,2011-01-05,1,1,fergusonlisa,1,
Year 10,Media Studies,11,15,2011-01-05,1,1,carrigntonrichard,1,
Year 11,ICT ,6,12,2011-01-06,1,1,ranasheetal,1,
Year 11,ICT,3,12,2011-01-06,1,1,kiffentony,1,
Year 11,ICT ,4,12,2011-01-06,1,1,,,
