class,lesson,room_id,period_id,date,block,week_num,user,year_id,staff,year_end
7E,ICT,5,13,2011-10-03,1,1,Ranas,1,,2012-07-20
9C,ICT,5,13,2011-10-04,1,1,Fullerj,1,,2012-07-20
8P,ICT,5,13,2011-10-05,1,1,Ranas,1,,2012-07-20
9A,ICT,5,13,2011-10-06,1,1,Ranas,1,,2012-07-20
10IX/LC1,ICT,5,14,2011-10-03,1,1,Ranas,1,,2012-07-20
9A,ICT,5,14,2011-10-04,1,1,Ranas,1,,2012-07-20
11XS/BC1,ICT,5,14,2011-10-06,1,1,XMT,1,,2012-07-20
9B,ICT,5,14,2011-10-07,1,1,Ranas,1,,2012-07-20
7P,ICT,5,15,2011-10-03,1,1,Ranas,1,,2012-07-20
9T,ICT,5,15,2011-10-06,1,1,Ranas,1,,2012-07-20
11IX/LC2,ICT,5,15,2011-10-07,1,1,Ranas,1,,2012-07-20
