class,lesson,room_id,period_id,date,block,week_num,user,year_id,staff
7AT,Registration,12,17,2011-01-03,1,1,maclachlanlucy,1,
Year 10,Business Studies,12,12,2011-01-03,1,1,livingstoneandrew,1,
Year 10,Business Studies,12,13,2011-01-03,1,1,maclachlanlucy,1,
Year 11 ,Business Studies,12,14,2011-01-03,1,1,maclachlanlucy,1,
7AT ,Registration,12,17,2011-01-04,1,1,maclachlanlucy,1,
Year 13,Business Studies,12,12,2011-01-04,1,1,maclachlanlucy,1,
Year 11 ,Business Studies,12,10,2011-01-04,1,1,mutchellhannah,1,
Year 10,Business Studies,12,13,2011-01-04,1,1,mutchellhannah,1,
Year 12 ,Business Studies,12,14,2011-01-04,1,1,mutchellhannah,1,
Year 10,Business Studies,12,15,2011-01-04,1,1,mutchellhannah,1,
7AT,Registration,12,17,2011-01-05,1,1,maclachlanlucy,1,
Year 11 ,Business Studies,12,12,2011-01-05,1,1,maclachlanlucy,1,
Year 10,Business Studies,12,10,2011-01-05,1,1,livingstoneandrew,1,
Year 13 ,Business Studies,12,13,2011-01-05,1,1,maclachlanlucy,1,
Year 10,Business Studies,12,14,2011-01-05,1,1,maclachlanlucy,1,
Year 10 ,Business Studies,12,15,2011-01-05,1,1,maclachlanlucy,1,
7AT,Registration,12,17,2011-01-06,1,1,maclachlanlucy,1,
Year 11 ,Business Studies,12,13,2011-01-06,1,1,mutchellhannah,1,
Year 10,Business Studies,12,14,2011-01-06,1,1,mutchellhannah,1,
Year 10,Business Studies,12,15,2011-01-06,1,1,mutchellhannah,1,
7AT ,Registration,12,17,2011-01-07,1,1,maclachlanlucy,1,
Year 11 ,Business Studies,12,12,2011-01-07,1,1,maclachlanlucy,1,
Year 10,Business Studies,12,10,2011-01-07,1,1,livingstoneandrew,1,
Year 10,Business Studies,12,13,2011-01-07,1,1,maclachlanlucy,1,
Year 10,Business Studies,12,14,2011-01-07,1,1,maclachlanlucy,1,
Year 10 ,Business Studies,12,15,2011-01-07,1,1,foxclaire,1,
